"","Genus","FuncGroup","IDS","name","auth","rank"
"1","Akashiwo","Dinoflagellata",109832,"Gymnodinium splendens","Lebour, 1925","Species"
"2","Akashiwo","Dinoflagellata",162544,"Gymnodinium sanguineum","K.Hirasaka, 1922","Species"
"3","Akashiwo","Dinoflagellata",232546,"Akashiwo sanguinea","(K.Hirasaka) Gert Hansen & Moestrup, 2000","Species"
"4","Alexandrium","Dinoflagellata",109470,"Alexandrium","Halim, 1960","Genus"
"5","Alexandrium","Dinoflagellata",109714,"Alexandrium tamarense","(Lebour) Balech, 1995","Species"
"6","Alexandrium","Dinoflagellata",231875,"Alexandrium monilatum","(J.F.Howell) Balech, 1995","Species"
"7","Alexandrium","Dinoflagellata",233420,"Alexandrium cohorticula","(Balech) Balech, 1985","Species"
"8","Amphidinium","Dinoflagellata",109473,"Amphidinium","Claperède & Lachmann, 1859","Genus"
"9","Amphidinium","Dinoflagellata",109735,"Amphidinium klebsii","Kofoid & Swezy, 1921","Species"
"10","Amphidinium","Dinoflagellata",232633,"Amphidinium turbo","Kofoid & Swezy, 1921","Species"
"11","Amphidinium","Dinoflagellata",650636,"Amphidinium schroederi","J.Schiller, 1928","Species"
"12","Amphora","Bacillariophyceae",149200,"Amphora","C.G. Ehrenberg ex F.T. Kützing, 1844","Genus"
"13","Amphora","Bacillariophyceae",149530,"Amphora laevis","Gregory, 1857","Species"
"14","Amphora","Bacillariophyceae",418236,"Amphora clevei","Grunow, 1875","Species"
"15","Amphora","Bacillariophyceae",961376,"Amphora lineata","A. Schmidt in Schmidt et al., 1875","Species"
"16","Anabaena","Cyanobacteria",146585,"Anabaena","Bory de Saint-Vincent ex Bornet & Flahault, 1886","Genus"
"17","Asterionella","Bacillariophyceae",149220,"Asterionella japonica","Cleve, 1882","Species"
"18","Asterionellopsis","Bacillariophyceae",149138,"Asterionellopsis","F.E. Round in F.E. Round, R.M. Crawford & D.G. Mann, 1990","Genus"
"19","Asterionellopsis","Bacillariophyceae",149139,"Asterionellopsis glacialis","(Castracane) Round, 1990","Species"
"20","Asterionellopsis","Bacillariophyceae",149618,"Asterionellopsis kariana","(Grunow) Round, 1990","Species"
"21","Bacteriastrum","Bacillariophyceae",149118,"Bacteriastrum","G. Shadbolt, 1854","Genus"
"22","Bacteriastrum","Bacillariophyceae",149119,"Bacteriastrum hyalinum","Lauder, 1864","Species"
"23","Bacteriastrum","Bacillariophyceae",162916,"Bacteriastrum elongatum","Cleve, 1897","Species"
"24","Bacteriastrum","Bacillariophyceae",164108,"Bacteriastrum delicatulum","Cleve, 1897","Species"
"25","Bacteriastrum","Bacillariophyceae",248066,"Bacteriastrum comosum","J.Pavillard, 1916","Species"
"26","Bellerochea","Bacillariophyceae",149305,"Bellerochea","H. Van Heurck, 1885","Genus"
"27","Bellerochea","Bacillariophyceae",149306,"Bellerochea malleus","(Brightwell) Van Heurck, 1885","Species"
"28","Blepharocysta","Dinoflagellata",110179,"Blepharocysta splendor-maris","(Ehrenberg) F.Stein, 1883","Species"
"29","Calcidiscus","Haptophyta",235804,"Calcidiscus","Kamptner, 1950","Genus"
"30","Calcidiscus","Haptophyta",235880,"Syracolithus quadriperforatus","(Kamptner) Gaarder, 1980","Species"
"31","Calcidiscus","Haptophyta",235923,"Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich & Tappan, 1978","Species"
"32","Calciopappus","Haptophyta",235924,"Calciopappus caudatus","K.R.Gaarder & Ramsfjell, 1954","Species"
"33","Calciosolenia","Haptophyta",235921,"Anoplosolenia brasiliensis","(Lohmann) Deflandre, 1952","Species"
"34","Calciosolenia","Haptophyta",235926,"Calciosolenia murrayi","Gran, 1912","Species"
"35","Calyptrosphaera","Haptophyta",235828,"Calyptrosphaera","Lohmann, 1902","Genus"
"36","Cerataulina","Bacillariophyceae",149237,"Cerataulina bergonii","(H.Peragallo) Schütt, 1896","Species"
"37","Cerataulina","Bacillariophyceae",149619,"Cerataulina pelagica","(Cleve) Hendey, 1937","Species"
"38","Chaetoceros","Bacillariophyceae",148985,"Chaetoceros","C.G. Ehrenberg, 1844","Genus"
"39","Chaetoceros","Bacillariophyceae",149120,"Chaetoceros danicus","Cleve, 1889","Species"
"40","Chaetoceros","Bacillariophyceae",149122,"Chaetoceros didymus","Ehrenberg, 1845","Species"
"41","Chaetoceros","Bacillariophyceae",149123,"Chaetoceros socialis","H.S.Lauder, 1864","Species"
"42","Chaetoceros","Bacillariophyceae",149125,"Chaetoceros teres","Cleve, 1896","Species"
"43","Chaetoceros","Bacillariophyceae",149126,"Chaetoceros decipiens","Cleve, 1873","Species"
"44","Chaetoceros","Bacillariophyceae",149128,"Chaetoceros diadema","(Ehrenberg) Gran, 1897","Species"
"45","Chaetoceros","Bacillariophyceae",149129,"Chaetoceros compressus","Lauder, 1864","Species"
"46","Chaetoceros","Bacillariophyceae",149219,"Chaetoceros debilis","Cleve, 1894 emend Xu, Y.Li & Lundholm in Xu et al., 2020","Species"
"47","Chaetoceros","Bacillariophyceae",149221,"Chaetoceros curvisetus","Cleve, 1889","Species"
"48","Chaetoceros","Bacillariophyceae",149228,"Chaetoceros laciniosus","F.Schütt, 1895","Species"
"49","Chaetoceros","Bacillariophyceae",149238,"Chaetoceros pelagicus","Cleve","Species"
"50","Chaetoceros","Bacillariophyceae",149241,"Chaetoceros affinis","Lauder, 1864","Species"
"51","Chaetoceros","Bacillariophyceae",149288,"Chaetoceros atlanticus","Cleve, 1873","Species"
"52","Chaetoceros","Bacillariophyceae",149289,"Chaetoceros costatus","Pavillard, 1911","Species"
"53","Chaetoceros","Bacillariophyceae",149292,"Chaetoceros anastomosans","Grunow, 1882","Species"
"54","Chaetoceros","Bacillariophyceae",156607,"Chaetoceros concavicornis","Mangin, 1917","Species"
"55","Chaetoceros","Bacillariophyceae",156609,"Chaetoceros constrictus","Gran, 1897","Species"
"56","Chaetoceros","Bacillariophyceae",156611,"Chaetoceros convolutus","Castracane, 1886","Species"
"57","Chaetoceros","Bacillariophyceae",156615,"Chaetoceros karianus","Grunow, 1880","Species"
"58","Chaetoceros","Bacillariophyceae",156617,"Chaetoceros lorenzianus","Grunow, 1863","Species"
"59","Chaetoceros","Bacillariophyceae",156621,"Chaetoceros subtilis","Cleve, 1896","Species"
"60","Chaetoceros","Bacillariophyceae",156623,"Chaetoceros tenuissimus","Meunier, 1913","Species"
"61","Chaetoceros","Bacillariophyceae",160523,"Chaetoceros lauderi","Ralfs, 1864","Species"
"62","Chaetoceros","Bacillariophyceae",163047,"Chaetoceros subsecundus","(Grunow ex Van Heurck) Hustedt, 1927","Species"
"63","Chaetoceros","Bacillariophyceae",163055,"Chaetoceros protuberans","Lauder, 1864","Species"
"64","Chaetoceros","Bacillariophyceae",163063,"Chaetoceros holsaticus","F.Schütt, 1895","Species"
"65","Chaetoceros","Bacillariophyceae",163112,"Chaetoceros radicans","F.Schütt, 1895","Species"
"66","Chaetoceros","Bacillariophyceae",163161,"Chaetoceros tortissimus","Gran, 1900","Species"
"67","Chaetoceros","Bacillariophyceae",163166,"Chaetoceros fallax","Prosckina-Lavrenko, 1955","Species"
"68","Chaetoceros","Bacillariophyceae",178180,"Chaetoceros coarctatus","Lauder, 1864","Species"
"69","Chaetoceros","Bacillariophyceae",178185,"Chaetoceros peruvianum","Brightwell, 1856","Species"
"70","Chaetoceros","Bacillariophyceae",178215,"Chaetoceros dichaeta","Ehrenberg, 1844","Species"
"71","Chaetoceros","Bacillariophyceae",178217,"Chaetoceros messanensis","Castracane, 1875","Species"
"72","Chaetoceros","Bacillariophyceae",178241,"Chaetoceros tetrastichon","Cleve, 1897","Species"
"73","Chaetoceros","Bacillariophyceae",248065,"Chaetoceros pendulus","Karsten, 1905","Species"
"74","Chaetoceros","Bacillariophyceae",341473,"Chaetoceros castracanei","Karsten, 1905","Species"
"75","Chaetoceros","Bacillariophyceae",341479,"Chaetoceros neglectus","Karsten, 1905","Species"
"76","Chaetoceros","Bacillariophyceae",418513,"Chaetoceros pseudocurvisetum","L. Mangin, 1910","Species"
"77","Chaetoceros","Bacillariophyceae",465390,"Chaetoceros dadayi","Pavillard, 1913","Species"
"78","Chaetoceros","Bacillariophyceae",465524,"Chaetoceros gracilis","Pantocsek, 1892","Species"
"79","Chaetoceros","Bacillariophyceae",961752,"Chaetoceros breve","Schütt, 1895","Species"
"80","Chaetoceros","Bacillariophyceae",961828,"Chaetoceros levis","Schutt, 1896","Species"
"81","Climacodium","Bacillariophyceae",196803,"Climacodium","A. Grunow, 1868","Genus"
"82","Climacodium","Bacillariophyceae",196804,"Climacodium frauenfeldianum","Grunow, 1868","Species"
"83","Coccolithus","Haptophyta",178598,"Coccolithus","E.H.L.Schwarz, 1894","Genus"
"84","Cochlodinium","Dinoflagellata",109474,"Cochlodinium","Schütt, 1896","Genus"
"85","Cochlodinium","Dinoflagellata",109775,"Cochlodinium strangulatum","(F.Schütt) F.Schütt, 1896","Species"
"86","Cochlodinium","Dinoflagellata",232663,"Cochlodinium faurei","Kofoid & Swezy, 1921","Species"
"87","Cochlodinium","Dinoflagellata",232687,"Cochlodinium virescens","Kofoid & Swezy, 1921","Species"
"88","Corethron","Bacillariophyceae",179596,"Corethron hystrix","Hensen, 1887","Species"
"89","Coscinodiscus","Bacillariophyceae",148914,"Thalassiosira anguste-lineata","(A.Schmidt) G.Fryxell & Hasle, 1977","Species"
"90","Coscinodiscus","Bacillariophyceae",148917,"Coscinodiscus","C.G. Ehrenberg, 1839","Genus"
"91","Coscinodiscus","Bacillariophyceae",149159,"Coscinodiscus centralis","Ehrenberg, 1844","Species"
"92","Coscinodiscus","Bacillariophyceae",149255,"Coscinosira polychorda","(Gran) Gran, 1900","Species"
"93","Coscinodiscus","Bacillariophyceae",149268,"Coscinodiscus nitidus","W.Gregory, 1857","Species"
"94","Coscinodiscus","Bacillariophyceae",149271,"Coscinodiscus granii","Gough, 1905","Species"
"95","Coscinodiscus","Bacillariophyceae",149272,"Coscinodiscus perforatus","Ehrenberg, 1844","Species"
"96","Coscinodiscus","Bacillariophyceae",156629,"Coscinodiscus marginatus","Ehrenberg, 1844","Species"
"97","Coscinodiscus","Bacillariophyceae",156632,"Coscinodiscus wailesii","Gran & Angst, 1931","Species"
"98","Cyclolithella","Haptophyta",604021,"Cyclolithella","Loeblich & Tappan, 1963","Genus"
"99","Cyclolithella","Haptophyta",840032,"Cyclolithella ferrazae","Sánchez-Suárez, 1990","Species"
"100","Cylindrotheca","Bacillariophyceae",149004,"Cylindrotheca closterium","(Ehrenberg) Reimann & J.C.Lewin, 1964","Species"
"101","Cystodinium","Dinoflagellata",163820,"Gymnodinium rotundatum","Klebs, 1912","Species"
"102","Dactyliosolen","Bacillariophyceae",149309,"Dactyliosolen","A.F. Castracane, 1886","Genus"
"103","Dactyliosolen","Bacillariophyceae",149310,"Dactyliosolen fragilissimus","(Bergon) Hasle, 1996","Species"
"104","Dactyliosolen","Bacillariophyceae",248064,"Dactyliosolen phuketensis","(B.G.Sundström) G.R.Hasle, 1996","Species"
"105","Detonula","Bacillariophyceae",149647,"Detonula pumila","(Castracane) Gran, 1900","Species"
"106","Detonula","Bacillariophyceae",163229,"Lauderia schroederi","Bergon, 1902","Species"
"107","Detonula","Bacillariophyceae",163231,"Schroederella delicatula","(H.Peragallo) Pavillard, 1913","Species"
"108","Dictyocha","Others",157463,"Dictyocha fibula","Ehrenberg, 1839","Species"
"109","Dinophysis","Dinoflagellata",109462,"Dinophysis","Ehrenberg, 1839","Genus"
"110","Dinophysis","Dinoflagellata",109603,"Dinophysis acuminata","Claparède & Lachmann, 1859","Species"
"111","Dinophysis","Dinoflagellata",109612,"Dinophysis caudata","Saville-Kent, 1881","Species"
"112","Dinophysis","Dinoflagellata",109618,"Dinophysis diegensis","Kofoid, 1907","Species"
"113","Dinophysis","Dinoflagellata",109627,"Dinophysis hastata","F.Stein, 1883","Species"
"114","Dinophysis","Dinoflagellata",109654,"Dinophysis recurva","Kofoid & Skogsberg, 1928","Species"
"115","Dinophysis","Dinoflagellata",232185,"Dinophysis exigua","Kofoid & Skogsberg, 1928","Species"
"116","Dinophysis","Dinoflagellata",232243,"Dinophysis okamurae","Kofoid & Skogsberg, 1928","Species"
"117","Dinophysis","Dinoflagellata",232261,"Dinophysis sacculus","F.Stein, 1883","Species"
"118","Dinophysis","Dinoflagellata",232270,"Dinophysis schroederi","Pavillard, 1909","Species"
"119","Dinophysis","Dinoflagellata",232498,"Phalacroma operculoides","F.Schütt, 1895","Species"
"120","Dinophysis","Dinoflagellata",646201,"Dinophysis ovum","T.H.Abé, 1967","Species"
"121","Diploneis","Bacillariophyceae",149018,"Diploneis","(C. G. Ehrenberg) P.T. Cleve, 1894","Genus"
"122","Diploneis","Bacillariophyceae",149194,"Diploneis bombus","(Ehrenberg) Ehrenberg, 1853","Species"
"123","Diploneis","Bacillariophyceae",149396,"Diploneis crabro","(Ehrenberg) Ehrenberg, 1854","Species"
"124","Diplopsalis","Dinoflagellata",109515,"Diplopsalis","R.S.Bergh, 1881","Genus"
"125","Diplopsalis","Dinoflagellata",110001,"Diplopsalis lenticula","Bergh, 1882","Species"
"126","Emiliana","Haptophyta",115086,"Emiliania","W.W.Hay & H.P.Mohler, 1967","Genus"
"127","Eucampia","Bacillariophyceae",149113,"Guinardia striata","(Stolterfoth) Hasle, 1996","Species"
"128","Eucampia","Bacillariophyceae",149130,"Eucampia","C.G. Ehrenberg, 1839","Genus"
"129","Eucampia","Bacillariophyceae",149131,"Eucampia zodiacus","Ehrenberg, 1839","Species"
"130","Eucampia","Bacillariophyceae",157430,"Eucampia groenlandica","Cleve, 1896","Species"
"131","Eucampia","Bacillariophyceae",248058,"Eucampia cornuta","(Cleve) Grunow, 1883","Species"
"132","Eutreptia","Others",178582,"Eutreptia","Perty, 1852","Genus"
"133","Eutreptiella","Others",17657,"Eutreptiella","A.M.Cunha, 1913","Genus"
"134","Eutreptiella","Others",110652,"Eutreptiella gymnastica","Throndsen, 1969","Species"
"135","Eutreptiella","Others",573871,"Eutreptiella eupharyngea","Ø.Moestrup & R.E.Norris, 1986","Species"
"136","Glenodinium","Dinoflagellata",109538,"Glenodinium","Ehrenberg, 1836","Genus"
"137","Gonyaulax","Dinoflagellata",109519,"Gonyaulax","Diesing, 1866","Genus"
"138","Gonyaulax","Dinoflagellata",110010,"Gonyaulax apiculata","Entz, 1904","Species"
"139","Gonyaulax","Dinoflagellata",110014,"Gonyaulax diegensis","Kofoid, 1911","Species"
"140","Gonyaulax","Dinoflagellata",110015,"Gonyaulax digitale","(Pouchet) Kofoid, 1911","Species"
"141","Gonyaulax","Dinoflagellata",110019,"Gonyaulax fragilis","(Schütt) Kofoid, 1911","Species"
"142","Gonyaulax","Dinoflagellata",110035,"Gonyaulax polygramma","F.Stein, 1883","Species"
"143","Gonyaulax","Dinoflagellata",110041,"Gonyaulax spinifera","(Claparède & Lachmann) Diesing, 1866","Species"
"144","Gonyaulax","Dinoflagellata",110043,"Gonyaulax turbynei","Murray & Whitting, 1899","Species"
"145","Gonyaulax","Dinoflagellata",233557,"Gonyaulax minuta","Kofoid & Michener, 1911","Species"
"146","Gonyaulax","Dinoflagellata",233577,"Gonyaulax sousae","Balech, 1959","Species"
"147","Grammatophora","Bacillariophyceae",149335,"Grammatophora","C.G. Ehrenberg, 1840","Genus"
"148","Grammatophora","Bacillariophyceae",149338,"Grammatophora marina","(Lyngbye) Kützing, 1844","Species"
"149","Grammatophora","Bacillariophyceae",149340,"Grammatophora serpentina","Ehrenberg, 1844","Species"
"150","Guinardia","Bacillariophyceae",149111,"Guinardia","H. Peragallo, 1892","Genus"
"151","Guinardia","Bacillariophyceae",149132,"Guinardia flaccida","(Castracane) H.Peragallo, 1892","Species"
"152","Gymnodinium","Dinoflagellata",109475,"Gymnodinium","F.Stein, 1878","Genus"
"153","Gymnodinium","Dinoflagellata",109784,"Gymnodinium catenatum","H.W.Graham, 1943","Species"
"154","Gymnodinium","Dinoflagellata",109797,"Gymnodinium gibbera","J.Schiller, 1928","Species"
"155","Gymnodinium","Dinoflagellata",109828,"Gymnodinium rubrum","Koifoid & Swezy, 1921","Species"
"156","Gymnodinium","Dinoflagellata",109835,"Gymnodinium variabile","E.C.Herdman, 1924","Species"
"157","Gymnodinium","Dinoflagellata",232753,"Gymnodinium flavum","Kofoid & Swezy, 1921","Species"
"158","Gymnodinium","Dinoflagellata",232767,"Gymnodinium gelbum","Kofoid, 1931","Species"
"159","Gymnodinium","Dinoflagellata",232785,"Gymnodinium impudicum","(S.Fraga & I.Bravo) Gert Hansen & Moestrup, 2000","Species"
"160","Gymnodinium","Dinoflagellata",232803,"Gymnodinium lira","Kofoid & Swezy, 1921","Species"
"161","Gymnodinium","Dinoflagellata",232828,"Gymnodinium ochraceum","Kofoid, 1931","Species"
"162","Gymnodinium","Dinoflagellata",232848,"Gymnodinium punctatum","Pouchet, 1887","Species"
"163","Gymnodinium","Dinoflagellata",232864,"Gymnodinium scopulosum","Kofoid & Swezy, 1921","Species"
"164","Gymnodinium","Dinoflagellata",418124,"Gymnodinium mirabile","Penard, 1891","Species"
"165","Gymnodinium","Dinoflagellata",418125,"Gymnodinium mitratum","J.Schiller, 1933","Species"
"166","Gymnodinium","Dinoflagellata",615560,"Gymnodinium acuminatum","Christen, 1954","Species"
"167","Gyrodinium","Dinoflagellata",109476,"Gyrodinium","Kofoid & Swezy, 1921","Genus"
"168","Gyrodinium","Dinoflagellata",109841,"Gyrodinium acutum","(Schütt) Kofoid & Swezy, 1921","Species"
"169","Gyrodinium","Dinoflagellata",109855,"Gyrodinium foliaceum","Kofoid & Swezy, 1921","Species"
"170","Gyrodinium","Dinoflagellata",109856,"Gyrodinium fusiforme","Kofoid & Swezy, 1921","Species"
"171","Gyrodinium","Dinoflagellata",109859,"Gyrodinium lacryma","(Meunier) Kofoid & Swezy, 1921","Species"
"172","Gyrodinium","Dinoflagellata",109871,"Gyrodinium pepo","(Schütt) Kofoid & Swezy, 1921","Species"
"173","Gyrodinium","Dinoflagellata",109872,"Gyrodinium pingue","(Schütt) Kofoid & Swezy, 1921","Species"
"174","Gyrodinium","Dinoflagellata",109876,"Gyrodinium spirale","(Bergh) Kofoid & Swezy, 1921","Species"
"175","Gyrodinium","Dinoflagellata",109879,"Gyrodinium varians","(Wulff) Schiller, 1933","Species"
"176","Gyrodinium","Dinoflagellata",232901,"Gyrodinium aciculatum","G.Hansen & J.Larsen, 1992","Species"
"177","Gyrodinium","Dinoflagellata",232909,"Gyrodinium biconicum","Kofoid & Swezy, 1921","Species"
"178","Gyrodinium","Dinoflagellata",232942,"Gyrodinium fulvum","Kofoid & Swezy, 1921","Species"
"179","Gyrodinium","Dinoflagellata",232947,"Gyrodinium grave","(Meunier) Kofoid & Swezy, 1921","Species"
"180","Gyrodinium","Dinoflagellata",232970,"Gyrodinium nasutum","(Wulff) Schiller, 1933","Species"
"181","Gyrodinium","Dinoflagellata",232998,"Gyrodinium striatissimum","(E.M.Hulburt) Gert Hansen & Ø.Moestrup, 2000","Species"
"182","Gyrodinium","Dinoflagellata",233006,"Gyrodinium virgatum","Kofoid & Swezy, 1921","Species"
"183","Haslea","Bacillariophyceae",149210,"Haslea","R. Simonsen, 1974","Genus"
"184","Haslea","Bacillariophyceae",248063,"Haslea wawrikae","(Hustedt) Simonsen, 1974","Species"
"185","Helicotheca","Bacillariophyceae",157440,"Helicotheca tamesis","(Shrubsole) M.Ricard, 1987","Species"
"186","Helicotheca","Bacillariophyceae",345435,"Streptotheca thamensis","Shrubsole","Species"
"187","Hemiaulus","Bacillariophyceae",163249,"Hemiaulus hauckii","Grunow ex Van Heurck, 1882","Species"
"188","Hemiaulus","Bacillariophyceae",163250,"Hemiaulus sinensis","Greville, 1865","Species"
"189","Hemiaulus","Bacillariophyceae",418540,"Hemiaulus membranaceus","Cleve","Species"
"190","Hemiaulus","Bacillariophyceae",597009,"Hemiaulus heibergii","Cleve, 1873","Species"
"191","Heterocapsa","Dinoflagellata",109540,"Heterocapsa","F.Stein, 1883","Genus"
"192","Heterocapsa","Dinoflagellata",110153,"Heterocapsa triquetra","(Ehrenberg) F.Stein, 1883","Species"
"193","Johannesbaptistia","Cyanobacteria",204903,"Johannesbaptistia","G.De Toni, 1934","Genus"
"194","Johannesbaptistia","Cyanobacteria",213713,"Johannesbaptistia pellucida","(Dickie) W.R.Taylor & Drouet, 1938","Species"
"195","Lauderia","Bacillariophyceae",149135,"Lauderia annulata","Cleve, 1873","Species"
"196","Lauderia","Bacillariophyceae",149230,"Leptocylindrus mediterraneus","(H.Peragallo) Hasle, 1975","Species"
"197","Lauderia","Bacillariophyceae",149233,"Lauderia borealis","Gran, 1900","Species"
"198","Lauderia","Bacillariophyceae",163262,"Dactyliosolen mediterraneus","(Peragallo) Peragallo, 1892","Species"
"199","Leptocylindrus","Bacillariophyceae",149039,"Leptocylindrus minimus","Gran, 1915","Species"
"200","Leptocylindrus","Bacillariophyceae",149106,"Leptocylindrus danicus","Cleve, 1889","Species"
"201","Lingulodinium","Dinoflagellata",233592,"Lingulodinium polyedra","(F.Stein) J.D.Dodge, 1989","Species"
"202","Lioloma","Bacillariophyceae",292726,"Lioloma","Hasle, 1997","Genus"
"203","Lioloma","Bacillariophyceae",418646,"Lioloma pacificum","(Cupp) Hasle, 1996","Species"
"204","Lioloma","Bacillariophyceae",502171,"Thalassiothrix delicatula","Cupp, 1943","Species"
"205","Lyngbya","Cyanobacteria",146538,"Lyngbya","C.Agardh ex Gomont, 1892","Genus"
"206","Mesodinium","Others",179320,"Mesodinium","von Stein","Genus"
"207","Mesodinium","Others",232069,"Mesodinium rubrum","(Lohmann, 1908)","Species"
"208","Mesodinium","Others",292896,"Myrionecta rubra","Lohmann, 1908","Species"
"209","Mesoporos","Dinoflagellata",232516,"Mesoporos perforatus","(Gran) Lillick, 1937","Species"
"210","Michaelsarsia","Haptophyta",235961,"Michaelsarsia elegans","Gran, 1912","Species"
"211","Michaelsarsia","Haptophyta",236058,"Michaelsarsia adriatica","(J.Schiller) Manton, G.Bremer & Oates, 1984","Species"
"212","Navicula","Bacillariophyceae",149142,"Navicula","J.B.M. Bory de Saint-Vincent, 1822","Genus"
"213","Navicula","Bacillariophyceae",149145,"Meuniera membranacea","(Cleve) P.C.Silva, 1996","Species"
"214","Navicula","Bacillariophyceae",149430,"Navicula lyra","Ehrenberg, 1843","Species"
"215","Navicula","Bacillariophyceae",149467,"Navicula directa","(W.Smith) Ralfs, 1861","Species"
"216","Navicula","Bacillariophyceae",149468,"Navicula cancellata","Donkin, 1872","Species"
